// Output Data File:
//
// FILENAME 3BusTestCase.out
//
// CASE FILENAME :
3BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              3	              3	              3	              2
//        RandomSeed	 iMaxDay	    dThresholdProbability	   dGenPriceCap	   dLSEPriceCap	 bMaximumDay	  bThreshold
           695672061	       2	                 0.999000	    1000.000000	       0.000000	           1	           1
//  bActionProb	      iStartDay	     iDayLength	    dActionProb	     bLearnProb	 iLearnStartDay	iLearnDayLength	     dLearnProb	    bNetEarning	    iNEStartDay	   iNEDayLength	   dNEThreshold
              0	              1	              5	       0.001000	              0	              1	              5	       0.001000	              0	              1	              5	      10.000000
#LMPWithTrueCostDataStart
// Hour	          Bus 1	          Bus 2	          Bus 3
#LMPWithTrueCostDataEnd

#GeneratorCommitmentWithTrueCostDataStart
// Hour	         GenCo1	         GenCo2	         GenCo3
#GeneratorCommitmentWithTrueCostDataEnd

#GeneratorProfitWithTrueCostDataStart
// Hour	   GenID	         Profit	   Net Earnings	        Revenue
NONE
#GeneratorProfitWithTrueCostDataEnd

#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
   11	    4	    1000.000000	       0.000000	       0.000000
   11	    5	    1000.000000	       0.000000	       0.000000
   11	    6	    1000.000000	       0.000000	       0.000000
   11	    7	    1000.000000	       0.000000	       0.000000
   11	    8	    1000.000000	       0.000000	       0.000000
   11	    9	    1000.000000	       0.000000	       0.000000
   11	   10	    1000.000000	       0.000000	       0.000000
   11	   11	    1000.000000	       0.000000	       0.000000
   11	   12	    1000.000000	       0.000000	       0.000000
   11	   13	    1000.000000	       0.000000	       0.000000
   11	   14	    1000.000000	       0.000000	       0.000000
   12	    0	    1000.000000	       0.000000	       0.000000
   12	    1	    1000.000000	       0.000000	       0.000000
   12	    2	    1000.000000	       0.000000	       0.000000
   12	    3	    1000.000000	       0.000000	       0.000000
   12	    4	    1000.000000	       0.000000	       0.000000
   12	    5	    1000.000000	       0.000000	       0.000000
   12	    6	    1000.000000	       0.000000	       0.000000
   12	    7	    1000.000000	       0.000000	       0.000000
   12	    8	    1000.000000	       0.000000	       0.000000
   12	    9	    1000.000000	       0.000000	       0.000000
   12	   10	    1000.000000	       0.000000	       0.000000
   12	   11	    1000.000000	       0.000000	       0.000000
   12	   12	    1000.000000	       0.000000	       0.000000
   12	   13	    1000.000000	       0.000000	       0.000000
   12	   14	    1000.000000	       0.000000	       0.000000
   13	    0	    1000.000000	       0.000000	       0.000000
   13	    1	    1000.000000	       0.000000	       0.000000
   13	    2	    1000.000000	       0.000000	       0.000000
   13	    3	    1000.000000	       0.000000	       0.000000
   13	    4	    1000.000000	       0.000000	       0.000000
   13	    5	    1000.000000	       0.000000	       0.000000
   13	    6	    1000.000000	       0.000000	       0.000000
   13	    7	    1000.000000	       0.000000	       0.000000
   13	    8	    1000.000000	       0.000000	       0.000000
   13	    9	    1000.000000	       0.000000	       0.000000
   13	   10	    1000.000000	       0.000000	       0.000000
   13	   11	    1000.000000	       0.000000	       0.000000
   13	   12	    1000.000000	       0.000000	       0.000000
   13	   13	    1000.000000	       0.000000	       0.000000
   13	   14	    1000.000000	       0.000000	       0.000000
   14	    0	     200.000000	       0.000000	       0.000000
   14	    1	     200.000000	       0.000000	       0.000000
   14	    2	     200.000000	       0.000000	       0.000000
   14	    3	     200.000000	       0.000000	       0.000000
   14	    4	     200.000000	       0.000000	       0.000000
   14	    5	     200.000000	       0.000000	       0.000000
   14	    6	     200.000000	       0.000000	       0.000000
   14	    7	     200.000000	       0.000000	       0.000000
   14	    8	     200.000000	       0.000000	       0.000000
   14	    9	     200.000000	       0.000000	       0.000000
   14	   10	     200.000000	       0.000000	       0.000000
   14	   11	     200.000000	       0.000000	       0.000000
   14	   12	     200.000000	       0.000000	       0.000000
   14	   13	     200.000000	       0.000000	       0.000000
   14	   14	     200.000000	       0.000000	       0.000000
   15	    0	     200.000000	       0.000000	       0.000000
   15	    1	     200.000000	       0.000000	       0.000000
   15	    2	     200.000000	       0.000000	       0.000000
   15	    3	     200.000000	       0.000000	       0.000000
   15	    4	     200.000000	       0.000000	       0.000000
   15	    5	     200.000000	       0.000000	       0.000000
   15	    6	     200.000000	       0.000000	       0.000000
   15	    7	     200.000000	       0.000000	       0.000000
   15	    8	     200.000000	       0.000000	       0.000000
   15	    9	     200.000000	       0.000000	       0.000000
   15	   10	     200.000000	       0.000000	       0.000000
   15	   11	     200.000000	       0.000000	       0.000000
   15	   12	     200.000000	       0.000000	       0.000000
   15	   13	     200.000000	       0.000000	       0.000000
   15	   14	     200.000000	       0.000000	       0.000000
   16	    0	     200.000000	       0.000000	       0.000000
   16	    1	     200.000000	       0.000000	       0.000000
   16	    2	     200.000000	       0.000000	       0.000000
   16	    3	     200.000000	       0.000000	       0.000000
