USPS	GEOID	ANSICODE	NAME	FUNCSTAT10	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                         
TX	4809991315	01938740	Flat CCD	S	982	434	148966356	6100804	      57.516	       2.356	 31.312499	 -97.569961                                                                                            
TX	4809991370	01938751	Fort Hood CCD	S	14852	2983	611354796	264328	     236.045	       0.102	 31.249183	 -97.763099                                                                                     
TX	4809991480	01938773	Gatesville CCD	S	19451	4901	269084135	180999	     103.894	       0.070	 31.432907	 -97.701935                                                                                    
TX	4809992885	01939058	Oglesby CCD	S	1894	834	320130097	5165729	     123.603	       1.994	 31.444150	 -97.561893                                                                                        
TX	4809993157	01939037	Purmela-Levita CCD	S	1668	829	418597289	171022	     161.621	       0.066	 31.468515	 -97.912320                                                                                  
TX	4809993965	01939275	Turnersville CCD	S	1049	528	350257532	118914	     135.235	       0.046	 31.584631	 -97.755947                                                                                    
TX	4810192930	01939067	Paducah North CCD	S	1370	891	1418032430	841819	     547.505	       0.325	 34.174000	-100.298129                                                                                  
TX	4810192935	01939068	Paducah South CCD	S	135	77	914415884	1882251	     353.058	       0.727	 33.936650	-100.253397                                                                                    
TX	4810390880	01938654	Crane North CCD	S	1257	507	1248458792	583729	     482.033	       0.225	 31.543060	-102.570252                                                                                    
TX	4810390885	01938655	Crane South CCD	S	3118	1125	784860054	1112311	     303.036	       0.429	 31.285102	-102.460527                                                                                   
TX	4810591120	01938702	East Crockett CCD	S	3604	1724	4323594526	44828	    1669.349	       0.017	 30.666467	-101.221391                                                                                  
TX	4810594160	01939314	West Crockett CCD	S	115	142	2947349635	8501	    1137.978	       0.003	 30.769000	-101.703987                                                                                     
TX	4810790905	01938659	Crosbyton CCD	S	2234	1207	1056088848	3813785	     407.758	       1.473	 33.634566	-101.180116                                                                                    
TX	4810792290	01938939	Lorenzo CCD	S	1479	676	524604421	51628	     202.551	       0.020	 33.585771	-101.505632                                                                                          
TX	4810793185	01939118	Ralls CCD	S	2346	1019	750808128	8142	     289.889	       0.003	 33.601434	-101.349867                                                                                            
TX	4810994010	01939284	Van Horn CCD	S	2189	974	354776585	83160	     136.980	       0.032	 31.081269	-104.818947                                                                                         
TX	4810994015	01939285	Van Horn Rural CCD	S	209	163	9520323472	473024	    3675.818	       0.183	 31.469411	-104.502843                                                                                  
TX	4811190955	01938669	Dalhart CCD	S	5936	2501	3208844549	1715956	    1238.942	       0.663	 36.259942	-102.524649                                                                                      
TX	4811193885	01939259	Texline CCD	S	767	326	684579049	3466995	     264.317	       1.339	 36.359057	-102.943839                                                                                         
TX	4811392792	01939038	Northeast Dallas CCD	S	1455973	604302	1173799498	53785913	     453.207	      20.767	 32.829449	 -96.688319                                                                       
TX	4811393682	01939217	Southwest Dallas CCD	S	912166	338955	1082803206	42910440	     418.073	      16.568	 32.698426	 -96.876343                                                                        
TX	4811592105	01938902	Lamesa CCD	S	11998	4402	129543175	261819	      50.017	       0.101	 32.739496	-101.959629                                                                                        
